candidate,dataset_period,ym,trades,pnl_pts,exp_pts,exp_sg
PREFADE-F,NAS100_TRAIN,2012-06,9,16.697413997210333,1.8552682219122592,0.7391282717689198
PREFADE-F,NAS100_TRAIN,2012-07,5,-27.081195217878758,-5.416239043575752,-1.6974666723951124
PREFADE-F,NAS100_TRAIN,2012-08,10,4.000042899361233,0.4000042899361233,0.09326391190013901
PREFADE-F,NAS100_TRAIN,2012-09,3,-6.433590389242454,-2.144530129747485,-1.0100086248205802
PREFADE-F,NAS100_TRAIN,2012-10,4,6.502763894480722,1.6256909736201806,0.2810371812852505
PREFADE-F,NAS100_TRAIN,2012-11,9,13.58718203139324,1.5096868923770268,0.5788304270850255
PREFADE-F,NAS100_TRAIN,2012-12,6,8.877008433659284,1.4795014056098807,0.8570655608930657
PREFADE-F,NAS100_TRAIN,2013-01,5,11.980120515786439,2.3960241031572878,0.7637567579727602
PREFADE-F,NAS100_TRAIN,2013-02,8,-1.69578418253559,-0.21197302281694874,-0.4817239642362339
PREFADE-F,NAS100_TRAIN,2013-03,3,-12.010930806570741,-4.003643602190247,-1.3986795323633496
PREFADE-F,NAS100_TRAIN,2013-04,5,26.983073732744742,5.3966147465489485,1.7040196439858655
PREFADE-F,NAS100_TRAIN,2013-05,7,6.744008683289849,0.9634298118985498,0.3445501544789223
PREFADE-F,NAS100_TRAIN,2013-06,5,-7.934184760502831,-1.586836952100566,-0.8328925320606932
PREFADE-F,NAS100_TRAIN,2013-07,5,-3.412041909097752,-0.6824083818195504,-0.16658363306773696
PREFADE-F,NAS100_TRAIN,2013-08,6,-3.8487333382954603,-0.6414555563825767,-0.3731163304865827
PREFADE-F,NAS100_TRAIN,2013-09,5,2.37632718055238,0.475265436110476,-0.19092464951407617
PREFADE-F,NAS100_TRAIN,2013-10,8,21.498646849272518,2.6873308561590648,0.9980400570888337
PREFADE-F,NAS100_TRAIN,2013-11,5,-24.552414208328173,-4.910482841665635,-2.2323444691960583
PREFADE-F,NAS100_TRAIN,2013-12,8,-10.151622038086316,-1.2689527547607895,-1.032249030242836
PREFADE-F,NAS100_TRAIN,2014-01,2,-12.965454433200193,-6.482727216600097,-1.5813688991485466
PREFADE-F,NAS100_TRAIN,2014-02,10,29.932100775868093,2.9932100775868093,0.803062544200474
PREFADE-F,NAS100_TRAIN,2014-03,10,-7.1693154005834,-0.71693154005834,-0.557854159181957
PREFADE-F,NAS100_TRAIN,2014-04,5,-16.30512386592818,-3.2610247731856363,-1.058412669221367
PREFADE-F,NAS100_TRAIN,2014-05,6,5.942553775178567,0.9904256291964278,0.18057670665687522
PREFADE-F,NAS100_TRAIN,2014-06,6,-1.8866670710885955,-0.31444451184809924,-0.6547784800554984
PREFADE-F,NAS100_TRAIN,2014-07,9,-25.479581247750048,-2.8310645830833385,-1.2487945364193502
PREFADE-F,NAS100_TRAIN,2014-08,7,18.889233140117085,2.6984618771595836,0.9039695918134703
PREFADE-F,NAS100_TRAIN,2014-09,5,-5.996160173206135,-1.199232034641227,-0.848838910879358
PREFADE-F,NAS100_TRAIN,2014-10,6,22.943025215323814,3.8238375358873022,0.7568879372175491
PREFADE-F,NAS100_TRAIN,2014-11,4,15.058065195114978,3.7645162987787444,0.6221950614247116
PREFADE-F,NAS100_TRAIN,2014-12,7,-5.470618868779638,-0.7815169812542341,-0.19231463651792224
PREFADE-F,NAS100_VAL,2015-01,6,3.220124049477363,0.5366873415795604,0.2183077627791309
PREFADE-F,NAS100_VAL,2015-02,7,6.47076001505684,0.9243942878652628,0.029313467376615
PREFADE-F,NAS100_VAL,2015-03,7,-13.361366613204154,-1.908766659029165,-0.7636091697078585
PREFADE-F,NAS100_VAL,2015-04,5,12.40509466677122,2.481018933354244,0.86462382019369
PREFADE-F,NAS100_VAL,2015-05,8,25.75455052916459,3.2193188161455737,1.1529955291832252
PREFADE-F,NAS100_VAL,2015-06,7,16.17810108685262,2.311157298121803,0.58503692840233
PREFADE-F,NAS100_VAL,2015-07,8,28.891787446683338,3.6114734308354173,0.5904977327441856
PREFADE-F,NAS100_VAL,2015-08,3,4.658418528657421,1.5528061762191403,0.009502085323023176
PREFADE-F,NAS100_VAL,2015-09,1,4.0102106854674275,4.0102106854674275,1.4285199250266596
PREFADE-F,NAS100_VAL,2015-10,4,-30.077649700303482,-7.5194124250758705,-1.5781401624712528
PREFADE-F,NAS100_VAL,2015-11,6,34.31289569176624,5.718815948627707,0.8557909671625525
PREFADE-F,NAS100_VAL,2015-12,4,45.981549102615645,11.495387275653911,1.6646148151141862
PREFADE-F,NAS100_VAL,2016-01,2,60.29299717252616,30.14649858626308,1.8533501890535875
PREFADE-F,NAS100_VAL,2016-02,1,26.432649148952805,26.432649148952805,1.954070657971079
PREFADE-F,NAS100_VAL,2016-03,1,-7.797127348484537,-7.797127348484537,-2.4999999999999596
PREFADE-F,NAS100_VAL,2016-04,1,8.928429355790286,8.928429355790286,1.6212850527943705
PREFADE-F,NAS100_VAL,2016-05,5,-16.758420284157182,-3.3516840568314366,-0.765059969832438
PREFADE-F,NAS100_VAL,2016-06,2,-17.826227182547882,-8.913113591273941,-2.4999999999998908
PREFADE-F,NAS100_VAL,2016-07,4,-13.099177257181509,-3.2747943142953773,-0.4171170866843601
PREFADE-F,NAS100_VAL,2016-08,6,-16.900797018798585,-2.8167995031330975,-1.0591480055641518
PREFADE-F,NAS100_VAL,2016-09,7,17.957028024175088,2.565289717739298,0.6412637729280505
PREFADE-F,NAS100_VAL,2016-10,3,4.473652739702629,1.4912175799008764,0.15173135625465814
PREFADE-F,NAS100_VAL,2016-11,4,23.65671911022673,5.914179777556683,1.4426742252554705
PREFADE-F,NAS100_VAL,2016-12,8,31.527923006151468,3.9409903757689335,1.3114752194580306
PREFADE-F,NAS100_VAL,2017-01,6,15.338342393533821,2.5563903989223036,1.1103794688354833
PREFADE-F,NAS100_VAL,2017-02,6,-5.229993385712078,-0.8716655642853463,-0.06808302773954807
PREFADE-F,NAS100_VAL,2017-03,4,7.9847511020043385,1.9961877755010846,0.5027639215389781
PREFADE-F,NAS100_VAL,2017-04,2,-12.978643426281451,-6.4893217131407255,-2.500000000000116
PREFADE-F,NAS100_VAL,2017-05,8,-4.1816400790266925,-0.5227050098783366,0.09974327199261515
PREFADE-F,NAS100_VAL,2017-06,4,22.07871973773308,5.51967993443327,0.29270598640130185
PREFADE-F,NAS100_VAL,2017-07,7,-19.03483979531211,-2.71926282790173,-0.4114310243501297
PREFADE-F,NAS100_VAL,2017-08,7,-3.365779361447494,-0.48082562306392773,-0.32850333502218115
PREFADE-F,NAS100_VAL,2017-09,6,-21.548293856713826,-3.5913823094523045,-0.9773411920951688
PREFADE-F,NAS100_VAL,2017-10,9,2.770949365359229,0.3078832628176921,-0.23683397707923032
PREFADE-F,NAS100_VAL,2017-11,3,4.49575567712327,1.4985852257077568,0.45576599944809154
PREFADE-F,NAS100_VAL,2017-12,8,-21.44874370331945,-2.6810929629149314,-0.8639524922582638
PREFADE-F,NAS100_VAL,2018-01,6,51.4096334976939,8.568272249615651,1.26399834789964
PREFADE-F,NAS100_VAL,2018-02,4,-2.867691730560182,-0.7169229326400455,-0.47335860508067434
PREFADE-F,NAS100_VAL,2018-03,1,8.988077330388478,8.988077330388478,1.7959489193894171
