time,rv26,rv52,rv104,semivol_down52,range_hebdo_norm,iqr52,dd_from_ath,log_cap,log_price,t_years
2011-04-17,1.6376342285184171,,,,0.19162398951697399,,0.0,15.691687856250113,0.093601537174601,0.7282683093771389
2011-04-24,1.6933018343159891,,,,0.20196764152659094,,0.0,16.09711661316948,0.48979658722711,0.7474332648870636
2011-05-01,1.7642468100091409,,,,0.21433957990605707,,0.0,16.747649346512677,1.1295382961424734,0.7665982203969883
2011-05-08,1.638444710237051,,,,0.19730592799951438,,0.0,16.977801892205317,1.3477272123597237,0.785763175906913
2011-05-15,1.7224715304496552,,,,0.21286882091519635,,0.0,17.576951620515413,1.9351271992398331,0.8049281314168378
2011-05-22,1.7264329195538275,,,,0.21779685966425294,,-0.0307539517862897,17.558950109080783,1.9038904196414963,0.8240930869267625
2011-05-29,1.7190818877424652,,,,0.22372374644632426,,0.0,17.796741690292535,2.1283452080074707,0.8432580424366872
2011-06-05,1.7683937337854447,,,,0.23613425551828554,,0.0,18.484643770487768,2.8059837487605983,0.8624229979466119
2011-06-12,1.764579869645112,,,,0.2584821127428461,,0.0,18.626890186737846,2.936520591909711,0.8815879534565366
2011-06-19,1.795004892041266,,,,0.2639196762022912,,-0.07105663955925956,18.56491590039618,2.8628130815735555,0.9007529089664613
2011-06-26,1.8230305692186728,,,,0.26291074215878535,,-0.13203096055057084,18.508291625800975,2.7949213581147125,0.919917864476386
2011-07-03,1.8479334874387094,,,,0.2623244491274614,,-0.17997708871985274,18.46041357903437,2.738097593381087,0.9390828199863107
