time,D1,D2
2017-10-22,0.32,0.55
2017-10-29,0.32,0.55
2017-11-05,0.32,0.55
2017-11-12,0.32,0.55
2017-11-19,0.32,0.55
2017-11-26,0.32,0.55
2017-12-03,0.32,0.55
2017-12-10,0.32,0.55
2017-12-17,0.32,0.55
2017-12-24,0.32,0.55
2017-12-31,0.32,0.55
2018-01-07,0.32,0.55
2018-01-14,0.32,0.55
2018-01-21,0.32,0.55
2018-01-28,0.32,0.55
2018-02-04,0.32,0.55
2018-02-11,0.32,0.55
2018-02-18,0.32,0.55
2018-02-25,0.32,0.55
2018-03-04,0.32,0.55
2018-03-11,0.32,0.55
2018-03-18,0.32,0.55
2018-03-25,0.32,0.55
2018-04-01,0.32,0.55
2018-04-08,0.32,0.55
2018-04-15,0.32,0.55
2018-04-22,0.32,0.55
2018-04-29,0.32,0.55
2018-05-06,0.32,0.55
2018-05-13,0.32,0.55
2018-05-20,0.32,0.55
2018-05-27,0.32,0.55
2018-06-03,0.32,0.55
2018-06-10,0.32,0.55
2018-06-17,0.32,0.55
2018-06-24,0.32,0.55
2018-07-01,0.32,0.55
2018-07-08,0.32,0.55
2018-07-15,0.32,0.55
2018-07-22,0.32,0.55
2018-07-29,0.32,0.55
2018-08-05,0.32,0.55
2018-08-12,0.32,0.55
2018-08-19,0.32,0.55
2018-08-26,0.32,0.55
2018-09-02,0.32,0.55
2018-09-09,0.32,0.55
2018-09-16,0.32,0.55
2018-09-23,0.32,0.55
2018-09-30,0.32,0.55
2018-10-07,0.32,0.55
2018-10-14,0.32,0.55
2018-10-21,0.32,0.55
2018-10-28,0.32,0.55
2018-11-04,0.32,0.55
2018-11-11,0.32,0.55
2018-11-18,0.32,0.55
2018-11-25,0.32,0.55
2018-12-02,0.32,0.55
2018-12-09,0.32,0.55
2018-12-16,0.32,0.55
2018-12-23,0.32,0.55
2018-12-30,0.32,0.55
2019-01-06,0.32,0.55
2019-01-13,0.32,0.55
2019-01-20,0.32,0.55
2019-01-27,0.32,0.55
