strategie,date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
Adaptative_bornee_0.5,2026-03-22,buy,entry,74723.9575534775,1.0,0.001116135317103,0.0,0.001116135317103,75.917463304939
Adaptative_figee+garde_fou,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_figee+garde_fou,2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262,0.8729038422560763,0.0,0.8729038422560763
Adaptative_figee+garde_fou,2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096,0.0,0.0031526971594096,0.8680574373486185
Adaptative_figee+garde_fou,2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096,0.7813652858083397,0.0,0.7813652858083397
Adaptative_figee+garde_fou,2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897,0.0,0.0026646428929897,0.7335281968355235
Adaptative_figee+garde_fou,2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897,0.7422527033909974,0.0,0.7422527033909974
Adaptative_figee+garde_fou,2015-11-08,buy,entry,364.616627995324,1.0,0.002031643935554,0.0,0.002031643935554,0.7565844652034497
Adaptative_figee+garde_fou,2017-07-23,sell,stop_partial,2215.74629614261,0.5,0.001015821967777,2.246302155116933,0.001015821967777,5.043107755762954
Adaptative_figee+garde_fou,2018-02-11,sell,stop_full,6849.54255932203,1.0,0.001015821967777,9.190302124497885,0.0,9.190302124497885
Adaptative_figee+garde_fou,2019-04-14,buy,entry,5283.42302483928,1.0,0.0017359878557823,0.0,0.0017359878557823,8.952149189164723
Adaptative_figee+garde_fou,2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.0008679939278911,6.184254143491612,0.0008679939278911,12.622796317069948
Adaptative_figee+garde_fou,2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0008679939278911,10.526742295981125,0.0,10.526742295981125
Adaptative_figee+garde_fou,2020-04-26,buy,entry,6853.27341478667,1.0,0.0015329507811034,0.0,0.0015329507811034,11.779298842366458
Adaptative_figee+garde_fou,2021-05-30,sell,stop_partial,38630.4091186441,0.5,0.0007664753905517,29.550039400552212,0.0007664753905517,56.87654938279081
Adaptative_figee+garde_fou,2022-06-19,sell,stop_full,22316.2570400351,1.0,0.0007664753905517,46.620691507304585,0.0,46.620691507304585
Adaptative_figee+garde_fou,2023-11-05,buy,entry,34495.1050207481,1.0,0.0013488185122744,0.0,0.0013488185122744,47.3503305596392
Adaptative_figee+garde_fou,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006744092561372,38.157085056559005,0.0006744092561372,79.30618871007204
Adaptative_figee+garde_fou,2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0006744092561372,85.43561093937424,0.0,85.43561093937424
Adaptative_figee+garde_fou,2026-03-22,buy,entry,74723.9575534775,1.0,0.0011410675179616,0.0,0.0011410675179616,77.61330556957245
Adaptative_figee+garde_fou,2026-03-29,sell,stop_full,70726.2110461718,1.0,0.0011410675179616,80.54197532910084,0.0,80.54197532910084
Adaptative_figee+garde_fou,2026-04-19,buy,entry,74632.7455856224,1.0,0.0010770233933183,0.0,0.0010770233933183,79.59763370549476
Adaptative_figee_entree,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_figee_entree,2017-07-23,sell,stop_partial,2215.74629614261,0.5,0.0018214926335631,4.027893625155968,0.0018214926335631,9.042907043533866
Adaptative_figee_entree,2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0018214926335631,16.47933215760788,0.0,16.47933215760788
Adaptative_figee_entree,2019-04-14,buy,entry,5283.42302483928,1.0,0.003112837870776,0.0,0.003112837870776,16.05229490981132
Adaptative_figee_entree,2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.001556418935388,11.089121641170108,0.001556418935388,22.63421272216229
Adaptative_figee_entree,2022-06-19,sell,stop_full,22316.2570400351,1.0,0.001556418935388,45.75309977521869,0.0,45.75309977521869
Adaptative_figee_entree,2023-11-05,buy,entry,34495.1050207481,1.0,0.0013237175592104,0.0,0.0013237175592104,46.46916054742176
Adaptative_figee_entree,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006618587796052,37.44699753007129,0.0006618587796052,77.8303334320069
Adaptative_figee_entree,2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0006618587796052,83.84568965592237,0.0,83.84568965592237
Adaptative_figee_entree,2026-03-22,buy,entry,74723.9575534775,1.0,0.0011198327247329,0.0,0.0011198327247329,76.16895414459484
Buy&Hold,2014-07-13,buy,bh_entry,619.197459088252,1.0,0.0016117701669601,0.0,0.0016117701669601,1.0152149434481486
Controle_sortie_SMA,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Controle_sortie_SMA,2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262,0.8729038422560763,0.0,0.8729038422560763
Controle_sortie_SMA,2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096,0.0,0.0031526971594096,0.8680574373486185
Controle_sortie_SMA,2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096,0.7813652858083397,0.0,0.7813652858083397
Controle_sortie_SMA,2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897,0.0,0.0026646428929897,0.7335281968355235
Controle_sortie_SMA,2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897,0.7422527033909974,0.0,0.7422527033909974
Controle_sortie_SMA,2015-11-08,buy,entry,364.616627995324,1.0,0.002031643935554,0.0,0.002031643935554,0.7565844652034497
