n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
2920,0.5817706888450216,0.11531278167524607,1.170490701196523,1.3100925860365973,0.5339041095890411,9,10,0.75,4,2.0,300,"(240, 810)"
2222,0.6402925202691236,0.12793135353111645,1.1735293353501757,1.2581037880319303,0.5333033303330333,9,10,0.75,4,2.0,300,"(450, 810)"
1683,0.5379037874437921,0.08766425334414633,1.1331359947782622,0.9398048145119933,0.5199049316696376,6,10,0.75,4,2.0,300,"(570, 810)"
1236,0.22037059837341574,0.06722401490067563,1.0553541820056371,0.40538838946075745,0.5194174757281553,5,10,0.75,4,2.0,300,"(570, 690)"
2805,0.5680856522930497,0.12091409111262728,1.1689133388653867,1.233785582965469,0.5686274509803921,9,10,0.75,4,2.5,180,"(240, 810)"
2139,0.6904569340091358,0.1453425671614042,1.1889754123623277,1.3067490340745804,0.5745675549322113,9,10,0.75,4,2.5,180,"(450, 810)"
1626,0.5619582315130875,0.10056406874221611,1.1415057560533988,0.9581295693975781,0.5553505535055351,7,10,0.75,4,2.5,180,"(570, 810)"
1202,0.20683511402998028,0.0810509543601661,1.0518706115227459,0.3662187731030527,0.5515806988352745,6,10,0.75,4,2.5,180,"(570, 690)"
2797,0.5270593219805493,0.1181448028715986,1.1474877085657968,1.0998527933335478,0.5806220951018949,9,10,0.75,4,2.5,240,"(240, 810)"
2138,0.6153735117418541,0.13434124713050927,1.1595145647169927,1.1240691254754476,0.5809167446211413,8,10,0.75,4,2.5,240,"(450, 810)"
1625,0.4518952642859019,0.08463677105603154,1.1064152773030667,0.7360077006882523,0.563076923076923,7,10,0.75,4,2.5,240,"(570, 810)"
1202,0.1826358388347112,0.07604295435196538,1.0437514569778312,0.3120032415216723,0.5682196339434277,6,10,0.75,4,2.5,240,"(570, 690)"
2797,0.5504413154770755,0.12200317066549093,1.1514256317010947,1.1305720344216954,0.5877726135144798,8,10,0.75,4,2.5,300,"(240, 810)"
2138,0.647747996570464,0.1400604968260259,1.1656671449855647,1.1671997796921907,0.5865294667913938,8,10,0.75,4,2.5,300,"(450, 810)"
1625,0.49342764060582717,0.09217706293269447,1.1144971140410194,0.7912206405634228,0.5692307692307692,7,10,0.75,4,2.5,300,"(570, 810)"
1202,0.18698794851496425,0.07955174726312955,1.0438978738549665,0.3133517061693178,0.5740432612312812,6,10,0.75,4,2.5,300,"(570, 690)"
2746,0.5558335883507587,0.11492842153233007,1.1605704060870465,1.1391559101984157,0.596504005826657,9,10,0.75,4,3.0,180,"(240, 810)"
2096,0.6697476021956105,0.12934250411836692,1.1775970613435591,1.1968411717227387,0.6006679389312977,8,10,0.75,4,3.0,180,"(450, 810)"
1599,0.5558409032216975,0.09563959844104672,1.1361873430223104,0.8922056940819107,0.5809881175734835,8,10,0.75,4,3.0,180,"(570, 810)"
1182,0.1945787877812455,0.07671956150163625,1.0473580019529438,0.32891153259740197,0.5803722504230119,6,10,0.75,4,3.0,180,"(570, 690)"
2736,0.5601106096624008,0.12399697156177496,1.1537557994673506,1.1000673556069394,0.6151315789473685,9,10,0.75,4,3.0,240,"(240, 810)"
2095,0.6226842785510631,0.12309521408955174,1.1571567652577712,1.0728404598755117,0.6090692124105012,8,10,0.75,4,3.0,240,"(450, 810)"
1598,0.46980008151959074,0.0832137149054507,1.1081037636056565,0.7196441725072179,0.5913642052565707,6,10,0.75,4,3.0,240,"(570, 810)"
1182,0.20736160168997544,0.07953513792251032,1.0486417899299108,0.3390767288163265,0.5998307952622673,7,10,0.75,4,3.0,240,"(570, 690)"
2735,0.5650438232720374,0.12618371604540432,1.1516047403258398,1.087708297067536,0.6259597806215722,8,10,0.75,4,3.0,300,"(240, 810)"
2095,0.6404520209201725,0.12658655468901486,1.1588319947752534,1.086381292502181,0.6176610978520286,8,10,0.75,4,3.0,300,"(450, 810)"
1598,0.48938641137432515,0.08706933965300659,1.1104315530511188,0.7371162938853923,0.6007509386733417,7,10,0.75,4,3.0,300,"(570, 810)"
1182,0.20954867033303828,0.08203906987303092,1.0481265601057594,0.33611727901033145,0.6099830795262268,6,10,0.75,4,3.0,300,"(570, 690)"
1734,0.8445921554107392,0.13398171936814243,1.2469870401061771,1.6963649489444486,0.5282583621683967,8,10,0.75,5,2.0,180,"(240, 810)"
1328,0.9813416010503798,0.14444700095640392,1.264677408859559,1.738012151568305,0.5338855421686747,9,10,0.75,5,2.0,180,"(450, 810)"
991,1.0308753381454643,0.11965375126604556,1.2591127905462143,1.6482381204688485,0.520686175580222,8,10,0.75,5,2.0,180,"(570, 810)"
683,0.6930192682885999,0.11278502973021856,1.1784934221699497,1.1653827647546877,0.5124450951683748,7,10,0.75,5,2.0,180,"(570, 690)"
1730,0.8421443286019877,0.13816088064643406,1.233578347222825,1.6261460925647697,0.5369942196531792,8,10,0.75,5,2.0,240,"(240, 810)"
1327,0.9258639073771127,0.139704773012339,1.23756849171121,1.5924040350628899,0.5357950263752826,9,10,0.75,5,2.0,240,"(450, 810)"
990,0.9280250064105778,0.10960440102656309,1.2185423258147725,1.4325734851613898,0.5222222222222223,8,10,0.75,5,2.0,240,"(570, 810)"
683,0.6858656204301077,0.11537900520609252,1.168686937852742,1.122533486911179,0.5241581259150805,7,10,0.75,5,2.0,240,"(570, 690)"
1730,0.8663594344849744,0.1422180717946501,1.2356388081207266,1.6509660499047942,0.5421965317919075,8,10,0.75,5,2.0,300,"(240, 810)"
