n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
2270,0.4835778846549437,0.09391864010848334,1.1330565173581528,0.9724789325893016,0.520704845814978,8,10,0.75,3,2.0,240,"(570, 810)"
1743,0.27752846122915026,0.08282560279084776,1.0787291667794034,0.5864239555028822,0.5186460126219162,7,10,0.75,3,2.0,240,"(570, 690)"
3907,0.49493652802533916,0.09736235164493526,1.1570853149413383,1.2926506025524749,0.5287944714614794,9,10,0.75,3,2.0,300,"(240, 810)"
2981,0.5902414840023865,0.12635545590682182,1.1741623563717893,1.3220050976884965,0.5337135189533714,9,10,0.75,3,2.0,300,"(450, 810)"
2270,0.5073257368725365,0.09820527623740596,1.13736177693186,1.0063671827519551,0.5237885462555066,8,10,0.75,3,2.0,300,"(570, 810)"
1743,0.2896318321906361,0.08614297567892724,1.0807181691992847,0.6043120344574255,0.5220883534136547,6,10,0.75,3,2.0,300,"(570, 690)"
3756,0.4774041405854755,0.10451159613415614,1.152313276592316,1.2009754855549077,0.5692225772097976,9,10,0.75,3,2.5,180,"(240, 810)"
2867,0.6369979726843122,0.14847618654505146,1.1884788866445535,1.3714308241694269,0.5814440181374259,10,10,0.75,3,2.5,180,"(450, 810)"
2190,0.5473106779197104,0.11440327852121743,1.1499696747066739,1.054537572468851,0.5657534246575342,9,10,0.75,3,2.5,180,"(570, 810)"
1692,0.2726823637246144,0.09118083386487486,1.0752056824756164,0.5414617495567443,0.5602836879432624,7,10,0.75,3,2.5,180,"(570, 690)"
3746,0.451473388064629,0.10295200634600066,1.1366521040271051,1.0963500193384246,0.5795515216230646,9,10,0.75,3,2.5,240,"(240, 810)"
2866,0.595834998142462,0.14464698313302363,1.1685670691371561,1.2421180564338123,0.5872295882763433,10,10,0.75,3,2.5,240,"(450, 810)"
2189,0.4796473921349376,0.10784042182685337,1.124169966293787,0.8867661809299288,0.5728643216080402,8,10,0.75,3,2.5,240,"(570, 810)"
1692,0.2632762107247423,0.0917493621588841,1.0697451787502186,0.5060592969623747,0.5721040189125296,7,10,0.75,3,2.5,240,"(570, 690)"
3744,0.4643124055268601,0.10459583780652103,1.1380378123259731,1.1119279211398563,0.5844017094017094,9,10,0.75,3,2.5,300,"(240, 810)"
2866,0.6155316250514377,0.1477988182414727,1.171555560636806,1.2698069922429356,0.5907187718073971,9,10,0.75,3,2.5,300,"(450, 810)"
2189,0.5067544167775726,0.11236316284854789,1.1290681255582884,0.9241581279124637,0.5765189584285062,8,10,0.75,3,2.5,300,"(570, 810)"
1692,0.27773599855470515,0.09569481851922253,1.072266445064741,0.5259975130722087,0.5762411347517731,5,10,0.75,3,2.5,300,"(570, 690)"
3664,0.49230852297613026,0.11052467918771292,1.153226154173563,1.1627472866912218,0.6020742358078602,10,10,0.75,3,3.0,180,"(240, 810)"
2801,0.6251579401426882,0.1375536043093761,1.1794260851926606,1.2680532527892543,0.6108532666904677,9,10,0.75,3,3.0,180,"(450, 810)"
2145,0.5599098662819183,0.11310758161031771,1.1495688947033291,1.017089472053903,0.5948717948717949,8,10,0.75,3,3.0,180,"(570, 810)"
1658,0.24649057101578187,0.08658220160002707,1.0657019808468444,0.46599521753385487,0.5922798552472859,6,10,0.75,3,3.0,180,"(570, 690)"
3651,0.4882307343622682,0.11547622333161092,1.144738906177839,1.1063489301153864,0.6184606956998083,9,10,0.75,3,3.0,240,"(240, 810)"
2800,0.5879322439773084,0.1331763833555866,1.161320093327976,1.1512259697979093,0.6185714285714285,8,10,0.75,3,3.0,240,"(450, 810)"
2144,0.49069414092867386,0.10416151184566287,1.123734836598492,0.852164311497875,0.6044776119402985,6,10,0.75,3,3.0,240,"(570, 810)"
1658,0.25188102301963977,0.08822735528313107,1.0647667878895926,0.4621235630265689,0.6073582629674307,6,10,0.75,3,3.0,240,"(570, 690)"
3648,0.5033483911577893,0.11970113404191025,1.1464380361057078,1.1229664977906695,0.6274671052631579,9,10,0.75,3,3.0,300,"(240, 810)"
2800,0.6033482780788397,0.13546802124371013,1.1627634503999358,1.1688310732889484,0.6242857142857143,8,10,0.75,3,3.0,300,"(450, 810)"
2144,0.5020711920054257,0.10605258074035533,1.1240106431949732,0.8592304353688986,0.6105410447761194,6,10,0.75,3,3.0,300,"(570, 810)"
1658,0.2700114960661081,0.09269513962784406,1.0681512473953205,0.488109602029958,0.6145958986731002,5,10,0.75,3,3.0,300,"(570, 690)"
2925,0.5777966299120603,0.11046481046581083,1.180843978120047,1.365831099049245,0.5223931623931624,9,10,0.75,4,2.0,180,"(240, 810)"
2223,0.6904013217038609,0.13723099531068014,1.199583314801213,1.4170714322832203,0.5299145299145299,9,10,0.75,4,2.0,180,"(450, 810)"
1684,0.611823543378335,0.1004624406640595,1.1637426774721293,1.1259958185615464,0.5148456057007126,9,10,0.75,4,2.0,180,"(570, 810)"
1236,0.2546931995565586,0.07630225177388014,1.068270414952416,0.4888089798526374,0.5064724919093851,5,10,0.75,4,2.0,180,"(570, 690)"
2920,0.5748282116344681,0.11376139933902002,1.1715553127479497,1.313980893085547,0.5294520547945205,9,10,0.75,4,2.0,240,"(240, 810)"
2222,0.6298619806557544,0.12678312150540702,1.1734176668955696,1.2548065885206705,0.5310531053105311,9,10,0.75,4,2.0,240,"(450, 810)"
1683,0.5168498179890813,0.08474145212780804,1.1301542473761688,0.9163017659839119,0.5157456922162804,7,10,0.75,4,2.0,240,"(570, 810)"
1236,0.22669742665279796,0.0673621450788828,1.0582206210879455,0.42333779215292455,0.5145631067961165,5,10,0.75,4,2.0,240,"(570, 690)"
