n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
3315,0.30828544676364483,0.12504197676060858,1.164579860266541,1.2319207994054189,0.5815987933634993,8,10,0.75,3,2.5,300,"(240, 810)"
2412,0.3978694586125432,0.1718742313997168,1.1988647331249087,1.3663996024044085,0.5866500829187397,8,10,0.75,3,2.5,300,"(450, 810)"
1780,0.2628030924919829,0.12279196921840504,1.120104812394773,0.7985449781783004,0.5696629213483146,8,10,0.75,3,2.5,300,"(570, 810)"
1296,0.14633688519647442,0.1267192514731154,1.0677063075900193,0.45015429821767006,0.5748456790123457,7,10,0.75,3,2.5,300,"(570, 690)"
3240,0.36876917252827834,0.14199191564304536,1.2141763510525827,1.5309012235940405,0.5969135802469135,9,10,0.75,3,3.0,180,"(240, 810)"
2360,0.4748819681397213,0.1864637935389401,1.2548557898809911,1.673937565511787,0.6080508474576272,9,10,0.75,3,3.0,180,"(450, 810)"
1742,0.39498438309001244,0.13678944029836043,1.199346800435285,1.2380787856313729,0.5861079219288174,8,10,0.75,3,3.0,180,"(570, 810)"
1277,0.32863690610052465,0.1501648797291152,1.1693195747787124,1.027980906122902,0.5951448707909162,8,10,0.75,3,3.0,180,"(570, 690)"
3230,0.33463647485712755,0.13799617873210487,1.180161647384493,1.3118078780763092,0.6123839009287926,7,10,0.75,3,3.0,240,"(240, 810)"
2358,0.40947715152920644,0.1750605229608715,1.204694285175564,1.3777822314237447,0.6136556403731976,8,10,0.75,3,3.0,240,"(450, 810)"
1740,0.2925480989558019,0.11684237891218928,1.1343708935441374,0.8387586688800532,0.593103448275862,7,10,0.75,3,3.0,240,"(570, 810)"
1277,0.1998023052329414,0.12080517474443454,1.0933773604133132,0.5908438918770381,0.601409553641347,5,10,0.75,3,3.0,240,"(570, 690)"
3225,0.3082193725412141,0.13150851610600958,1.1604042891602426,1.1691459747439656,0.6198449612403101,7,10,0.75,3,3.0,300,"(240, 810)"
2358,0.3809962938277178,0.1694552436083176,1.184711241143405,1.249933106842218,0.6204410517387616,8,10,0.75,3,3.0,300,"(450, 810)"
1740,0.25882873254052624,0.1095805259266839,1.1149654712208816,0.7269318649478855,0.5994252873563218,7,10,0.75,3,3.0,300,"(570, 810)"
1277,0.15799214135321157,0.11406785303925479,1.0709884301729777,0.45301301173503544,0.6084573218480814,5,10,0.75,3,3.0,300,"(570, 690)"
2116,0.5310779673619567,0.1995247110947403,1.2984782961196686,1.9820419528021005,0.5415879017013232,9,10,0.75,4,2.0,180,"(240, 810)"
1598,0.5932665585529663,0.20771515483648414,1.3079464609315707,1.9406797184396372,0.5425531914893617,9,10,0.75,4,2.0,180,"(450, 810)"
1218,0.3738559094656336,0.13460890784471644,1.1799624831761304,1.1187223266493156,0.5197044334975369,7,10,0.75,4,2.0,180,"(570, 810)"
823,0.24735454571455365,0.13189194741189314,1.1209437631306765,0.7616197916610452,0.5212636695018226,6,10,0.75,4,2.0,180,"(570, 690)"
2114,0.4794971754333316,0.190968513443203,1.2478555167481697,1.7254802795435698,0.5425733207190161,8,10,0.75,4,2.0,240,"(240, 810)"
1597,0.5076851017276499,0.1859494214849646,1.2434837343268745,1.6200222919465113,0.5347526612398247,9,10,0.75,4,2.0,240,"(450, 810)"
1216,0.27261936557658634,0.10915907281961212,1.1198574125890188,0.7848130118726407,0.5115131578947368,7,10,0.75,4,2.0,240,"(570, 810)"
823,0.11912423432537343,0.10240302969008369,1.0528495753151121,0.34773286508927,0.5164034021871203,5,10,0.75,4,2.0,240,"(570, 690)"
2114,0.44334414942591793,0.18073420708259366,1.2209596849632198,1.5617831933051927,0.5439924314096499,8,10,0.75,4,2.0,300,"(240, 810)"
1597,0.47620364315621255,0.17837489813272475,1.221856488999966,1.4954173763023269,0.5372573575453976,8,10,0.75,4,2.0,300,"(450, 810)"
1216,0.22432383192981686,0.09605695067399182,1.0952548524683092,0.6342996044694029,0.5123355263157895,7,10,0.75,4,2.0,300,"(570, 810)"
823,0.04370959164354254,0.08248063004075283,1.0185240791747294,0.12431219821090117,0.5139732685297691,5,10,0.75,4,2.0,300,"(570, 690)"
2051,0.6327721821469889,0.2564034093409503,1.349197209474865,2.1975776764431836,0.591418820087762,9,10,0.75,4,2.5,180,"(240, 810)"
1552,0.7283437142329999,0.2656549616747542,1.371808497949769,2.1913630852853454,0.595360824742268,9,10,0.75,4,2.5,180,"(450, 810)"
1183,0.5373473454864562,0.19585524918120228,1.2571212806345737,1.503763990958799,0.5714285714285714,8,10,0.75,4,2.5,180,"(570, 810)"
805,0.3225529616211398,0.18525344347717213,1.153135619851715,0.9279272749176667,0.5726708074534161,7,10,0.75,4,2.5,180,"(570, 690)"
2049,0.5608228682920039,0.2417285368073842,1.279265812023781,1.8574215987128369,0.5968765251342119,8,10,0.75,4,2.5,240,"(240, 810)"
1550,0.6224674631205486,0.24115653512665877,1.2890565401361294,1.8128767205813239,0.5896774193548387,8,10,0.75,4,2.5,240,"(450, 810)"
1181,0.40808868103919776,0.16530083741764798,1.1750695222997938,1.086394250406136,0.5664690939881456,8,10,0.75,4,2.5,240,"(570, 810)"
805,0.21545444343028025,0.1664078625053353,1.0929103021771724,0.5844884497071197,0.5739130434782609,7,10,0.75,4,2.5,240,"(570, 690)"
2048,0.4920526046450534,0.22433522360024477,1.2328522461945852,1.5768806423795638,0.59912109375,8,10,0.75,4,2.5,300,"(240, 810)"
1550,0.5670156652393438,0.22969830665371704,1.25287044965079,1.6122664165078995,0.5935483870967742,8,10,0.75,4,2.5,300,"(450, 810)"
1181,0.32624173034829745,0.1463398149500017,1.133246339249359,0.8411921583008868,0.5681625740897545,7,10,0.75,4,2.5,300,"(570, 810)"
805,0.10084904937550378,0.13967714977145634,1.040895865822251,0.26235323827058643,0.5726708074534161,5,10,0.75,4,2.5,300,"(570, 690)"
2020,0.6358424274245548,0.25771631440888154,1.3422970749051537,2.1594327494220447,0.6123762376237624,9,10,0.75,4,3.0,180,"(240, 810)"
1530,0.757583353698638,0.27081138513616465,1.3800071466435078,2.2373619702829886,0.6189542483660131,10,10,0.75,4,3.0,180,"(450, 810)"
1164,0.5701670923475429,0.19243234735299158,1.26890191974331,1.5692452212503096,0.5902061855670103,9,10,0.75,4,3.0,180,"(570, 810)"
795,0.38579922446878423,0.1859817348434478,1.1816900980624034,1.0944753116155264,0.5974842767295597,8,10,0.75,4,3.0,180,"(570, 690)"
2012,0.566529568454901,0.2419215193328381,1.273936483787449,1.7786794876951264,0.6247514910536779,8,10,0.75,4,3.0,240,"(240, 810)"
1528,0.650721703606952,0.24521920396931396,1.2959077858730905,1.80514734637918,0.6178010471204188,9,10,0.75,4,3.0,240,"(450, 810)"
1161,0.40753931899303947,0.1538474647719807,1.169240479768351,1.0192875996352215,0.5900086132644272,7,10,0.75,4,3.0,240,"(570, 810)"
795,0.24137519731574908,0.1555321201775163,1.1013484416604293,0.6360709281540038,0.6012578616352201,6,10,0.75,4,3.0,240,"(570, 690)"
2010,0.5316576338979617,0.22972825899551755,1.2476890765677906,1.6219785943280094,0.6313432835820896,7,10,0.75,4,3.0,300,"(240, 810)"
1528,0.6116994050019613,0.2335792605276079,1.26870226497941,1.6563080452995131,0.6230366492146597,8,10,0.75,4,3.0,300,"(450, 810)"
