level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
1.5,3.0,180,"(450, 570)",l1,4072,0.1543026235038793,1.3946060000466551,1.9604848466011817,-0.39769737649612075,10,10,0.7362475442043221,-81.9948838948535,0.08023884364168585
1.5,3.0,180,"(480, 570)",vwap,2145,0.27047200389259846,1.2177123158166432,1.2164069210845594,-0.2815279961074016,10,10,0.7337995337995338,-77.09356319371989,0.17806339709186153
1.5,3.0,180,"(480, 570)",l1,3308,0.15684585212230898,1.404951236848141,1.898246700969642,-0.3951541478776911,10,10,0.7330713422007256,-67.32487606184259,0.09716888109039898
1.5,3.0,240,"(420, 570)",vwap,2902,0.2500360783161002,1.2039335615808366,1.2338256214148828,-0.30196392168389985,9,10,0.7305306685044797,-120.69231184217324,0.15302182621622323
1.5,3.0,240,"(420, 570)",l1,4815,0.1519029525902013,1.3867291519010039,2.053199161585594,-0.40009704740979873,10,10,0.7360332294911734,-74.00846903361253,0.06892919932141854
1.5,3.0,240,"(450, 570)",vwap,2535,0.2764394096232765,1.2256853286140958,1.3061223371574557,-0.27556059037672354,10,10,0.7357001972386588,-116.89553586856096,0.1474165860312227
1.5,3.0,240,"(450, 570)",l1,4072,0.1537920898342425,1.3927875572592687,1.9512707028464777,-0.3982079101657575,10,10,0.7362475442043221,-84.07377699761446,0.08050520734957195
1.5,3.0,240,"(480, 570)",vwap,2145,0.246239629274486,1.1942559474012702,1.0869986219642436,-0.30576037072551404,10,10,0.7324009324009324,-85.51819920991738,0.1955865673338609
1.5,3.0,240,"(480, 570)",l1,3308,0.15621740801627484,1.4026753350990862,1.8872555570060197,-0.39578259198372523,10,10,0.7330713422007256,-69.40376916460355,0.09755977997539926
2.0,2.0,120,"(420, 570)",vwap,2076,0.16494569342242443,1.1302440101038604,0.8957495831633495,-0.3870543065775756,10,10,0.5703275529865125,-86.51502563660847,0.27830439276297075
2.0,2.0,120,"(420, 570)",l1,2541,0.1490782659966275,1.2210292072803357,1.3503838628864617,-0.40292173400337256,10,10,0.7075954348681621,-49.513543316390496,0.13092675441233156
2.0,2.0,120,"(450, 570)",vwap,1786,0.19146811912019493,1.1469490223380185,0.9525367776031098,-0.36053188087980514,9,10,0.58006718924972,-126.38195899717266,0.29769094942952024
2.0,2.0,120,"(450, 570)",l1,2166,0.1828909843265326,1.278337984377016,1.5754938159357628,-0.36910901567346743,10,10,0.7179132040627886,-55.6075376013132,0.1387334030445737
2.0,2.0,120,"(480, 570)",vwap,1503,0.21611530049703961,1.161268004958236,1.025050220136053,-0.3358846995029604,9,10,0.5815036593479708,-107.63600339042137,0.27810964301474944
2.0,2.0,120,"(480, 570)",l1,1779,0.197614275548295,1.3006439599958175,1.6643905748397265,-0.354385724451705,10,10,0.718381112984823,-59.58083853170524,0.14107599991596312
2.0,2.0,180,"(420, 570)",vwap,2071,0.15439429022831658,1.1139630344359115,0.7836428622161947,-0.39760570977168347,8,10,0.577015934331241,-76.49973664357367,0.338492944876127
2.0,2.0,180,"(420, 570)",l1,2541,0.15210184508867772,1.2263768004870668,1.3799424143262613,-0.3998981549113223,10,10,0.708776072412436,-49.513543316390496,0.1283241075016362
2.0,2.0,180,"(450, 570)",vwap,1786,0.17636705770539612,1.1286388103034173,0.8337431288164852,-0.3756329422946039,9,10,0.5862262038073908,-146.78337380246762,0.36424249568820416
2.0,2.0,180,"(450, 570)",l1,2166,0.1828198943753948,1.2781996955457982,1.57495446449147,-0.36918010562460524,10,10,0.7179132040627886,-56.7840419119259,0.1387873498586079
2.0,2.0,180,"(480, 570)",vwap,1503,0.19868702685058337,1.1427646153745945,0.9042560168421446,-0.3533129731494167,8,10,0.5861610113107119,-110.02929725099284,0.34581727692956404
2.0,2.0,180,"(480, 570)",l1,1779,0.19569332791472044,1.2968539464478246,1.646937223064971,-0.3563066720852796,9,10,0.718381112984823,-60.75734284231794,0.1424608177382183
2.0,2.0,240,"(420, 570)",vwap,2071,0.1450463509065778,1.1057940829319706,0.7289792243962055,-0.40695364909342224,8,10,0.5789473684210527,-77.93149858860943,0.3603081197478944
2.0,2.0,240,"(420, 570)",l1,2541,0.152180554258296,1.2265204809009618,1.3808655221930506,-0.399819445741704,10,10,0.708776072412436,-49.513543316390496,0.12825773710370528
2.0,2.0,240,"(450, 570)",vwap,1786,0.16256790682173936,1.1173161256127786,0.7633273227524381,-0.38943209317826066,8,10,0.5867861142217246,-154.59043148236788,0.39516026571124263
2.0,2.0,240,"(450, 570)",l1,2166,0.18291223047881125,1.2783793195925888,1.5760183468008997,-0.3690877695211888,10,10,0.7179132040627886,-56.7840419119259,0.13871728847968384
2.0,2.0,240,"(480, 570)",vwap,1503,0.1800066041130727,1.1274939592801156,0.8122176667375266,-0.37199339588692737,8,10,0.5854956753160346,-110.54123733751908,0.3817049209124551
2.0,2.0,240,"(480, 570)",l1,1779,0.19580575062410777,1.29707514689145,1.6482312021578933,-0.3561942493758923,9,10,0.718381112984823,-60.75734284231794,0.14237902325025972
2.0,2.5,120,"(420, 570)",vwap,2007,0.22842138258645067,1.1789466879355135,1.153349236455824,-0.3235786174135494,9,10,0.6198305929247633,-79.24006438128731,0.19980513894316113
2.0,2.5,120,"(420, 570)",l1,2493,0.17974295410799188,1.2774584900629349,1.5641599322560513,-0.37225704589200814,10,10,0.7212194143602085,-53.19731115726995,0.11068104379718996
2.0,2.5,120,"(450, 570)",vwap,1737,0.24978569284190755,1.1879443302307544,1.1687660040189105,-0.3022143071580925,8,10,0.6327000575705239,-110.70090846487778,0.23462602286697223
2.0,2.5,120,"(450, 570)",l1,2129,0.20771607131771228,1.3257599381333958,1.71904682210815,-0.34428392868228774,10,10,0.7299201503053077,-52.989856287517114,0.12427564552219186
2.0,2.5,120,"(480, 570)",vwap,1465,0.2983747553326051,1.2194988097077764,1.3307766123425053,-0.25362524466739494,9,10,0.6375426621160409,-106.91973332361067,0.20666210215366196
2.0,2.5,120,"(480, 570)",l1,1754,0.22467025197917123,1.3531150339752451,1.8304442146268816,-0.3273297480208288,10,10,0.7320410490307868,-56.21036363013354,0.1258555113080877
2.0,2.5,180,"(420, 570)",vwap,2000,0.23931745656909628,1.1750275969687474,1.1242040421411974,-0.31268254343090374,9,10,0.638,-80.2593235282709,0.21839884828601308
2.0,2.5,180,"(420, 570)",l1,2493,0.18322070437741006,1.2841523898802865,1.593813136716511,-0.36877929562259,10,10,0.722422783794625,-53.19731115726995,0.1085801839015077
2.0,2.5,180,"(450, 570)",vwap,1737,0.24499521146809428,1.1750365867396895,1.0793901664373546,-0.30700478853190577,8,10,0.6459412780656304,-147.35022651212057,0.26960759528753253
2.0,2.5,180,"(450, 570)",l1,2129,0.20687959602729128,1.3240230324732771,1.7086764556745746,-0.34512040397270877,10,10,0.7299201503053077,-56.637933387735075,0.1247781286509133
2.0,2.5,180,"(480, 570)",vwap,1465,0.28258575601446007,1.1993115361110853,1.199231311002323,-0.26941424398554,8,10,0.6477815699658703,-121.76198920063052,0.24945217018883425
2.0,2.5,180,"(480, 570)",l1,1754,0.2228812996889179,1.3493211441033137,1.8118412829107637,-0.32911870031108215,10,10,0.7320410490307868,-61.26432599509508,0.1268656880501914
2.0,2.5,240,"(420, 570)",vwap,2000,0.22089123702407715,1.1585502215637273,1.0190248917981362,-0.3311087629759229,9,10,0.6415,-79.36472223544206,0.23661715871386757
2.0,2.5,240,"(420, 570)",l1,2493,0.18319580610440098,1.284102805397889,1.59304175548308,-0.36880419389559904,10,10,0.722422783794625,-53.19731115726995,0.10859494111194631
2.0,2.5,240,"(450, 570)",vwap,1737,0.21776558152994913,1.1522835386356713,0.9420364957310717,-0.3342344184700509,8,10,0.6470926885434658,-151.53451012212622,0.30331960338640207
2.0,2.5,240,"(450, 570)",l1,2129,0.20685044083959206,1.3239625750305226,1.7071250385959176,-0.345149559160408,10,10,0.7299201503053077,-55.50000478234665,0.12479571589775126
