level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
2.0,2.0,240,"(450, 570)",l1,2177,0.2254448080059055,1.2050344318839852,1.265937010831761,-0.4045551919940945,8,10,0.7064768029398254,-122.07826869461724,0.16090203395765243
2.0,2.0,240,"(480, 570)",vwap,1568,0.7120537499338004,1.3431090176945177,2.1550877940250284,0.08205374993380044,10,10,0.6218112244897959,-99.64738321568666,0.12613595353343524
2.0,2.0,240,"(480, 570)",l1,1819,0.3263589345036205,1.3057311402924245,1.7533209117338011,-0.3036410654963795,10,10,0.7168774051676745,-103.29915843919662,0.12957917889324666
2.0,2.5,120,"(420, 570)",vwap,2041,0.539738652735286,1.2609038416134808,1.6899409413329898,-0.09026134726471402,10,10,0.6403723664870161,-138.07536977416794,0.10146054551346272
2.0,2.5,120,"(420, 570)",l1,2487,0.16032108025015165,1.1415831352730594,0.8492576413573039,-0.4696789197498483,7,10,0.7100924809006836,-170.81715015180725,0.16714082851815965
2.0,2.5,120,"(450, 570)",vwap,1791,0.6282383479128252,1.3032763218416503,1.8812821068420367,-0.0017616520871748254,10,10,0.6566164154103853,-131.29288148701653,0.09933531885797997
2.0,2.5,120,"(450, 570)",l1,2152,0.21097211499362584,1.1903758297708495,1.0840595076242479,-0.41902788500637417,8,10,0.716542750929368,-145.68764282553911,0.1473999411213977
2.0,2.5,120,"(480, 570)",vwap,1532,0.7360169972333597,1.3473897068393887,2.0699477971988323,0.10601699723335967,10,10,0.6657963446475196,-101.53761924698983,0.10407327607542517
2.0,2.5,120,"(480, 570)",l1,1801,0.31002001195177287,1.2878689421546328,1.518667742351453,-0.31997998804822714,7,10,0.7268184342032205,-123.31136955723923,0.11358197108679148
2.0,2.5,180,"(420, 570)",vwap,2034,0.6135905349838696,1.2897373581748581,1.86742655442528,-0.016409465016130387,10,10,0.6583087512291053,-118.71232124239077,0.09130673333913562
2.0,2.5,180,"(420, 570)",l1,2485,0.1650133798928744,1.1464877570409504,0.8758750427901771,-0.4649866201071256,7,10,0.7106639839034206,-168.53692966221206,0.16251872760882943
2.0,2.5,180,"(450, 570)",vwap,1791,0.6643342040657653,1.3148383981445264,1.9434513135998353,0.03433420406576526,10,10,0.6705750977107761,-113.54025174746175,0.09393804537957097
