level,stop_sigma,time_stop,expectancy_pts,neigh_mean,neigh_pos_share,n_trades
2.0,1.5,240,-0.0037491464147996483,-0.1810280030781014,0.0,1634
2.0,2.0,120,-0.09981356451468827,-0.14077456772887817,0.0,2105
2.0,2.0,120,-0.04736919193805292,-0.14077456772887817,0.0,1838
2.0,2.0,120,0.08746501583682373,-0.14077456772887817,0.0,1568
2.0,2.0,180,-0.03767794183588282,-0.12885492204791876,0.0,2101
2.0,2.0,180,-0.009628892793444777,-0.12885492204791876,0.0,1838
2.0,2.0,180,0.10066344794479307,-0.12885492204791876,0.0,1568
2.0,2.0,240,-0.048796427206337575,-0.13223162420333115,0.0,2101
2.0,2.0,240,-0.017316242566787907,-0.13223162420333115,0.0,1838
2.0,2.0,240,0.08205374993380056,-0.13223162420333115,0.0,1568
2.5,1.0,120,-0.26996967115471515,-0.22895363508899824,0.0,1349
2.5,1.0,120,-0.24096813314095508,-0.22895363508899824,0.0,1145
2.5,1.0,120,-0.24785458873220223,-0.22895363508899824,0.0,936
2.5,1.0,180,-0.2376751575648606,-0.23370272116095575,0.0,1349
2.5,1.0,180,-0.24078690349325563,-0.23370272116095575,0.0,1145
2.5,1.0,180,-0.2383316924139411,-0.23370272116095575,0.0,936
2.5,1.0,240,-0.2326825228322822,-0.21887337449726865,0.0,1349
2.5,1.0,240,-0.24078690349325563,-0.21887337449726865,0.0,1145
2.5,1.0,240,-0.2383316924139411,-0.21887337449726865,0.0,936
2.5,1.5,120,-0.14153114198132768,-0.1812075305981396,0.0,1263
2.5,1.5,120,-0.09045295164258649,-0.1812075305981396,0.0,1078
2.5,1.5,120,-0.16615943890187623,-0.1812075305981396,0.0,884
2.5,1.5,180,-0.16340259508999566,-0.15680559696687574,0.0,1262
2.5,1.5,180,-0.09229960618743631,-0.15680559696687574,0.0,1078
2.5,1.5,180,-0.16573668788860685,-0.15680559696687574,0.0,884
2.5,1.5,240,-0.14435737777284155,-0.16061929408963252,0.0,1262
2.5,1.5,240,-0.07625136871062724,-0.16061929408963252,0.0,1078
2.5,1.5,240,-0.16573668788860685,-0.16061929408963252,0.0,884
2.5,2.0,120,-0.08997368578253766,-0.11627685922198629,0.0,1222
2.5,2.0,120,0.006917057096294653,-0.11627685922198629,0.0,1050
2.5,2.0,120,0.06272063576654437,-0.11627685922198629,0.0,860
2.5,2.0,180,-0.10748587116994289,-0.09493413965627395,0.0,1221
2.5,2.0,180,-3.690961543916111e-05,-0.09493413965627395,0.0,1050
2.5,2.0,180,0.06578255770338459,-0.09493413965627395,0.0,860
2.5,2.0,240,-0.0886823359166797,-0.10021322538304067,0.0,1221
2.5,2.0,240,0.015414568755976136,-0.10021322538304067,0.0,1050
2.5,2.0,240,0.06453145571499609,-0.10021322538304067,0.0,860
