level,stop_sigma,time_stop,expectancy_pts,neigh_mean,neigh_pos_share,n_trades
2.0,1.0,180,-0.4971574098703877,-0.4521588682381935,0.0,2398
2.0,1.0,180,-0.5188510970943504,-0.4521588682381935,0.0,2042
2.0,1.0,180,-0.49618411969746795,-0.4521588682381935,0.0,1687
2.0,1.0,240,-0.49739575007180636,-0.4439561269715549,0.0,2398
2.0,1.0,240,-0.5211443438951467,-0.4439561269715549,0.0,2042
2.0,1.0,240,-0.5009753526359542,-0.4439561269715549,0.0,1687
2.0,1.5,120,-0.44130802539417646,-0.409136839232729,0.0,2188
2.0,1.5,120,-0.4408329076651645,-0.409136839232729,0.0,1880
2.0,1.5,120,-0.4114444062454639,-0.409136839232729,0.0,1565
2.0,1.5,180,-0.43346370181126265,-0.41634660921618855,0.0,2184
2.0,1.5,180,-0.4486505338329964,-0.41634660921618855,0.0,1880
2.0,1.5,180,-0.41468571487660355,-0.41634660921618855,0.0,1565
2.0,1.5,240,-0.43766078808770464,-0.41531071392082525,0.0,2184
2.0,1.5,240,-0.45877330328833693,-0.41531071392082525,0.0,1880
2.0,1.5,240,-0.422493775059472,-0.41531071392082525,0.0,1565
2.0,2.0,120,-0.3870543065775754,-0.35278037390034156,0.0,2076
2.0,2.0,120,-0.36053188087980487,-0.35278037390034156,0.0,1786
2.0,2.0,120,-0.3358846995029602,-0.35278037390034156,0.0,1503
2.0,2.0,180,-0.3976057097716832,-0.35551997741867747,0.0,2071
2.0,2.0,180,-0.37563294229460364,-0.35551997741867747,0.0,1786
2.0,2.0,180,-0.35331297314941645,-0.35551997741867747,0.0,1503
2.0,2.0,240,-0.40695364909342197,-0.35286490136650883,0.0,2071
2.0,2.0,240,-0.38943209317826044,-0.35286490136650883,0.0,1786
2.0,2.0,240,-0.3719933958869271,-0.35286490136650883,0.0,1503
2.5,1.0,120,-0.3890653265703699,-0.3933307137337283,0.0,1392
2.5,1.0,120,-0.32015771617793803,-0.3933307137337283,0.0,1193
2.5,1.0,120,-0.25117432392653793,-0.3933307137337283,0.0,975
2.5,1.0,180,-0.38679277483738245,-0.39044122091895683,0.0,1392
2.5,1.0,180,-0.31946543060913524,-0.39044122091895683,0.0,1193
2.5,1.0,180,-0.25992767707450715,-0.39044122091895683,0.0,975
2.5,1.0,240,-0.3881251562115923,-0.39220318426759576,0.0,1392
2.5,1.0,240,-0.3242690286803263,-0.39220318426759576,0.0,1193
2.5,1.0,240,-0.265805310406744,-0.39220318426759576,0.0,975
2.5,1.5,120,-0.2955748090425937,-0.3233399966947802,0.0,1283
2.5,1.5,120,-0.23765175443393177,-0.3233399966947802,0.0,1100
2.5,1.5,120,-0.11123399779894785,-0.3233399966947802,0.0,905
2.5,1.5,180,-0.28741699102347734,-0.3120322007761209,0.0,1283
2.5,1.5,180,-0.23067631056911547,-0.3120322007761209,0.0,1100
2.5,1.5,180,-0.11462037768832876,-0.3120322007761209,0.0,905
2.5,1.5,240,-0.2924210278935986,-0.31828810866651236,0.0,1283
2.5,1.5,240,-0.2400552230143446,-0.31828810866651236,0.0,1100
2.5,1.5,240,-0.12941117031901603,-0.31828810866651236,0.0,905
2.5,2.0,120,-0.17556964379109685,-0.2781792686386455,0.0,1234
2.5,2.0,120,-0.10155654439940376,-0.2781792686386455,0.0,1062
2.5,2.0,120,-0.05178253587244759,-0.2781792686386455,0.0,880
2.5,2.0,180,-0.15190869029576742,-0.2551354609823831,0.0,1234
2.5,2.0,180,-0.08121768384934858,-0.2551354609823831,0.0,1062
2.5,2.0,180,-0.02951392866102716,-0.2551354609823831,0.0,880
2.5,2.0,240,-0.15994949934327504,-0.283761122427596,0.0,1234
2.5,2.0,240,-0.09513398487501429,-0.283761122427596,0.0,1062
2.5,2.0,240,-0.04217977676582039,-0.283761122427596,0.0,880
