n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
3086,-755.627148326111,-0.24485649654118954,1.1654857693122223,0.6331821127673364,2.9827264383783127,-5.816143647453474,0.5128357583953866,0.8852306288909766,-0.7904062428162777,3.26059534573986,-33.881195370950884,32.26681723062904,-2.547110974386282,-0.9274867776179639,-1.2173926261780104,-815.5941146939508,-423.2761122318301,1984,-0.9264744984208799,6,,,-962.0304811774461,1.5,2.0,240,"(420, 570)"
2668,-541.8454253089772,-0.20309048924624332,1.1887400388769676,0.636431784107946,3.049187758855433,-5.896253855510827,0.517139837187567,0.9052612820046274,-0.6972287459297378,3.5318818267623175,-33.881195370950884,32.99140946712452,-1.9210945630738079,-0.71290513572939,-0.962630726080428,-625.5960653889026,-316.0391877932565,1851,-0.8661266515033611,6,,,-761.6054923014381,1.5,2.0,240,"(450, 570)"
2248,-361.7563132605513,-0.16092362689526302,1.2350114349836714,0.6427935943060499,3.085598975989217,-6.003047115273935,0.5140054570183751,0.9249537800641993,-0.7877103648866076,3.7251895961287276,-38.16512861060472,32.26681723062904,-1.3793363180790055,-0.541908929870754,-0.7139447571972769,-412.4504782325021,-218.62980626055153,1661,-0.8770902989634025,7,,,-563.9405798752962,1.5,2.0,240,"(480, 570)"
2414,-742.6782182100269,-0.3076546057208065,-1.8298247587632703,0.40223695111847557,4.165372364988666,-3.3175708833084,1.2555488673793784,0.8448634443696301,1.1280918373359712,4.2242462706248425,-18.48097258060523,36.883353005412,-3.346742245568789,-1.3740919115758785,-2.308060660872704,-776.763813610457,-366.40110170637314,1566,-0.9561184560825428,17,,,-975.9657334020542,2.0,1.0,120,"(420, 570)"
2094,-678.1672959435134,-0.3238621279577428,-1.8684948467383764,0.40305635148042024,4.220966933465854,-3.3925307102309556,1.2441941706633808,0.8400799040319147,1.1678118109573397,4.365696409970905,-18.48097258060523,36.883353005412,-3.2295220713827937,-1.4079906590012676,-2.5832021544388213,-706.737702909085,-312.23213856271394,1442,-0.9595742425400866,16,,,-910.1414171630183,2.0,1.0,120,"(450, 570)"
1758,-374.1236543277266,-0.21281209006127794,-1.8355363515216867,0.4129692832764505,4.3863531876781545,-3.4482713842849493,1.2720440762488683,0.8948682164308898,1.1304603698012274,4.062366716081006,-18.48097258060523,36.883353005412,-1.8837583164615503,-0.8661630600393969,-1.6368605590734544,-380.1480504466113,-190.9527210943122,1281,-0.9841525002908421,16,,,-596.2417181435508,2.0,1.0,120,"(480, 570)"
2412,-648.2397025071941,-0.26875609556683006,-1.8300000000000454,0.40422885572139305,4.260622367601918,-3.3419251989694256,1.2749005779410616,0.8650160497512424,1.1022844591467784,3.955060538078212,-18.48097258060523,36.883353005412,-2.8901216406599946,-1.1863377592882665,-2.0228065546675893,-682.3252979076242,-332.15886538126716,1566,-0.9500449484945618,17,,,-881.5272176992219,2.0,1.0,180,"(420, 570)"
2094,-615.6510976215886,-0.2940072099434521,-1.847259103274614,0.4054441260744986,4.256846042599654,-3.3973601508342925,1.2529863934367678,0.8544461429942296,1.1509896249981355,4.23511248814359,-18.48097258060523,36.883353005412,-2.917812289817691,-1.2724686563371728,-2.3405728882174164,-644.2215045871602,-295.84397947216263,1442,-0.9556512678292416,16,,,-847.6252188410942,2.0,1.0,180,"(450, 570)"
1758,-357.0278877319886,-0.203087535683725,-1.830000000000159,0.4141069397042093,4.389049698969888,-3.448792299594241,1.272633814302552,0.8994926376818037,1.124475137517089,4.038137026985569,-18.48097258060523,36.883353005412,-1.7965471128045796,-0.8257058917767074,-1.5612907373848743,-363.05228385087327,-187.59661137337156,1281,-0.9834062574817345,16,,,-579.1459515478132,2.0,1.0,180,"(480, 570)"
2412,-662.3052626276985,-0.2745875881541039,-1.8300000000000454,0.40422885572139305,4.255494162473713,-3.3482338698953162,1.2709668224599744,0.8623470089759744,1.0995418626545856,3.9540680862479034,-18.48097258060523,36.883353005412,-2.951591657729787,-1.2112695798237338,-2.064672978348183,-696.3908580281286,-333.6182233410332,1566,-0.9510539304077682,17,,,-895.5927778197254,2.0,1.0,240,"(420, 570)"
2094,-629.716657742093,-0.30072428736489637,-1.8559442221456992,0.4054441260744986,4.250956761091998,-3.4046417252282724,1.2485768266283532,0.8514391371947566,1.14796229960524,4.233803307892279,-18.48097258060523,36.883353005412,-2.983082398409235,-1.3005322221174156,-2.3903324709721123,-658.2870647076646,-297.37010702946367,1442,-0.9565988631748876,16,,,-861.6907789615987,2.0,1.0,240,"(450, 570)"
1758,-374.8934478524927,-0.21324997033702658,-1.831036755812197,0.41353811149032993,4.386599973658981,-3.456791104464183,1.2689803465398939,0.8948096139034944,1.122360894258226,4.037042219278134,-18.48097258060523,36.883353005412,-1.8852993599140249,-0.866188599169765,-1.6369967132236984,-380.9178439713774,-189.72019064193103,1281,-0.9841845263637943,16,,,-597.0115116683169,2.0,1.0,240,"(480, 570)"
2222,-447.6978265517187,-0.20148417036530997,0.370617261801267,0.5126012601260126,3.8527620290660076,-4.465368215750602,0.8628094801849125,0.9074238208038924,0.2981397597354759,2.5794413735008193,-27.406458870907844,36.883353005412,-1.8481043823910877,-0.7679793332906013,-1.1409561697418373,-541.8336319255254,-284.48785042989664,1555,-0.8262643737353805,8,,,-669.4884733967385,2.0,1.5,120,"(420, 570)"
1933,-351.9686366489591,-0.18208413691099798,0.5408898803228749,0.5214692188308329,3.8854731644011524,-4.614622255530077,0.8419915974151241,0.9175432758858866,0.28518121523832707,2.566884891087166,-27.406458870907844,36.883353005412,-1.5296392574510151,-0.6640318262387933,-1.0468015592317004,-437.7967472842593,-187.32479372169786,1433,-0.8039544350941044,9,,,-572.3222489938107,2.0,1.5,120,"(450, 570)"
