n,total_pts,expectancy_pts,median_pts,win_rate,avg_win,avg_loss,payoff,profit_factor,skew,kurtosis,worst,best,t_stat,sharpe_d,sortino_d,max_dd_pts,avg_dd_pts,longest_dd_days,recovery_factor,longest_losing_streak,share_top5,share_top1pct,pnl_wo_top10,level,stop_sigma,time_stop,window
2217,-832.2328112376878,-0.37538692432913295,0.4299224160814883,0.5836716283265674,1.806460298217805,-3.434227992558535,0.526016415372578,0.737448799016377,-0.38892407621183356,4.514981589295084,-17.6547037719291,25.770865610384497,-5.185892800326921,-2.0196455550622847,-2.785399160441188,-864.8148767013065,-450.5503543540692,1705,-0.9623248092263711,10,,,-981.7090652478132,1.5,2.0,120,"(480, 570)"
3044,-1212.180277675956,-0.39821953931536,0.43342478373178706,0.585742444152431,1.7455065151246192,-3.4293563791777566,0.5089895368480579,0.7196894085647004,-0.3769830506244334,6.717818574297747,-23.063242883154295,31.0823032457105,-6.491960712372029,-2.3890749872010435,-3.1919566212939947,-1244.889387231659,-654.9403217477312,2016,-0.97372528845439,10,,,-1378.1385381403338,1.5,2.0,180,"(420, 570)"
2639,-896.433585642827,-0.3396868456395707,0.44799999999999995,0.5926487305797651,1.7827360893901356,-3.4275654227432546,0.520117304708752,0.7567101995948726,-0.23175863078235479,6.502257470926203,-20.102337561637434,31.0823032457105,-5.13879691204407,-1.906800354936338,-2.597825570920498,-935.1448090920912,-507.81489864870025,1872,-0.9586040332225957,12,,,-1058.8441428986632,1.5,2.0,180,"(450, 570)"
2217,-818.0907170747721,-0.36900799146358687,0.44781505477308015,0.591339648173207,1.8171613143105079,-3.5324384107459683,0.5144212306101512,0.7443777409822387,-0.13049967446674907,6.505381271418674,-17.6547037719291,31.0823032457105,-4.98001238843549,-1.9338899166423615,-2.6860142468683894,-852.472782538391,-441.39660409868026,1705,-0.9596678437507231,10,,,-980.5012743306086,1.5,2.0,180,"(480, 570)"
3044,-1267.045543553706,-0.41624360826337253,0.4339270671688591,0.5854139290407359,1.7484721887750587,-3.4729183708009987,0.50345905146391,0.710906521163778,-0.40843643428795107,6.532417312569465,-23.063242883154295,31.0823032457105,-6.735606018198479,-2.4827623334796556,-3.3193351653383147,-1299.7546531093994,-668.8966161015206,2016,-0.9748343970321991,10,,,-1431.6631624733645,1.5,2.0,240,"(420, 570)"
2639,-920.9121114636893,-0.3489625280271653,0.44799999999999995,0.5915119363395226,1.7885597745807047,-3.4442058623229768,0.5192952587840942,0.7519665110964481,-0.24959822409903473,6.413036804787051,-20.102337561637434,31.0823032457105,-5.253079085030921,-1.9517399308490604,-2.660416212172335,-959.6233349129533,-516.2189737662115,1872,-0.9596599811187899,12,,,-1083.3226687195258,1.5,2.0,240,"(450, 570)"
2217,-828.9369846583813,-0.3739003088220033,0.44765464636443353,0.5899864682002707,1.8235247080242503,-3.53587162019153,0.5157214129639339,0.7420941783903472,-0.14382483423350753,6.449199346067742,-17.6547037719291,31.0823032457105,-5.030109787021836,-1.955946299959686,-2.7186651805398836,-863.3190501220001,-444.2812347333351,1705,-0.9601745548662044,10,,,-991.347541914218,1.5,2.0,240,"(480, 570)"
2401,-1194.796562128222,-0.49762455732120864,-1.3264968879321732,0.36776343190337357,2.3744687279417938,-2.1682822456527178,1.0950920862366826,0.6370002056304287,1.321133704891106,6.788511345939925,-11.80762144157709,24.294599182958017,-8.833728285773395,-3.5806984410750133,-5.73090565812349,-1205.6648939089796,-659.457357224568,1560,-0.9909856114782329,14,,,-1351.260925712495,2.0,1.0,120,"(420, 570)"
2042,-1029.9339032843734,-0.5043750750658048,-1.3519999999999546,0.3712047012732615,2.4295577086533755,-2.236400814987252,1.0863695328546124,0.6413303005481279,1.6490123355367152,10.730206163524764,-10.649675265500811,30.794599182958017,-7.945712985835593,-3.336278422519865,-5.737923069283762,-1036.6915926692152,-536.9899648840116,1409,-0.993481485301311,13,,,-1192.8982668686463,2.0,1.0,120,"(450, 570)"
1687,-838.5255814357861,-0.49705132272423597,-1.3780486707627024,0.3633669235328986,2.5845270933966407,-2.2559038079030973,1.1456725611891247,0.6539080819450033,1.2687163950936566,4.86271464736007,-11.975463204657991,19.331523503910965,-6.996601017991149,-3.1045125082782348,-5.712142640415106,-844.7429104342538,-450.3161126127469,1237,-0.9926399749300607,12,,,-984.6931944444085,2.0,1.0,120,"(480, 570)"
2398,-1192.1834688691897,-0.4971574098703877,-1.3506749134558977,0.36822351959966637,2.4627447070773143,-2.2223016800121833,1.1081954935406488,0.6458987596015794,1.6485921259168992,11.044569799308189,-11.80762144157709,31.0823032457105,-8.466335983793895,-3.430683123583985,-5.685753476567339,-1203.051800649948,-651.7102160215087,1560,-0.990966031741211,13,,,-1364.8495906126795,2.0,1.0,180,"(420, 570)"
2042,-1059.4939402666635,-0.5188510970943504,-1.3519999999999546,0.37071498530852104,2.466124107701717,-2.27731508933608,1.082908605510835,0.6379469372542428,1.99028627764799,15.03095130954326,-10.649675265500811,31.0823032457105,-7.944203462200933,-3.3343149314317886,-5.847903977070711,-1066.2516296515014,-545.3012805210661,1409,-0.9936622001815554,13,,,-1236.0353394874674,2.0,1.0,180,"(450, 570)"
1687,-837.0626099296285,-0.49618411969746795,-1.3807606286737628,0.3639596917605216,2.607190155640693,-2.2720199119226594,1.147520821432591,0.6566428558803455,1.7278272254177711,10.622584113810044,-11.975463204657991,31.0823032457105,-6.811996900218678,-3.023465709692697,-5.685868265975294,-843.279938928096,-444.0534950306663,1237,-0.9926272063268189,12,,,-996.1645261839614,2.0,1.0,180,"(480, 570)"
2398,-1192.7550086721917,-0.49739575007180636,-1.3519999999999546,0.36905754795663054,2.460178744074487,-2.2273715777779985,1.1045210276628987,0.6460681490295209,1.6384019961182905,11.000520918240127,-11.80762144157709,31.0823032457105,-8.461532617593729,-3.4257973755804163,-5.661571938371633,-1203.62334045295,-652.5572724650382,1560,-0.9909703215154829,13,,,-1365.4211304156815,2.0,1.0,240,"(420, 570)"
2042,-1064.1767502338896,-0.5211443438951467,-1.3519999999999546,0.37071498530852104,2.463482099775693,-2.2794028791938437,1.080757650287321,0.6366797986517526,1.9826322060703485,15.010184266292187,-10.649675265500811,31.0823032457105,-7.97500089094399,-3.3454196653931945,-5.845571797577874,-1070.9344396187275,-547.5249322638454,1409,-0.9936899130938142,13,,,-1240.7181494546935,2.0,1.0,240,"(450, 570)"
1687,-845.1454198968547,-0.5009753526359542,-1.383443726379348,0.3633669235328986,2.6064710531213464,-2.27459234214175,1.1459068971748583,0.6540418323726146,1.7210159379552634,10.610780328344937,-11.975463204657991,31.0823032457105,-6.873110926639248,-3.0486009872396753,-5.705302212765752,-851.3627488953223,-446.76474916418147,1237,-0.9926972033877254,12,,,-1004.2473361511878,2.0,1.0,240,"(480, 570)"
2188,-965.5819595624581,-0.44130802539417646,-0.5293342623805093,0.4744058500914077,2.1902532739848417,-2.8165781373554113,0.7776291539496756,0.7018948363476202,0.3078879640779399,4.220129707335742,-17.435432162365693,24.294599182958017,-6.477130270679799,-2.666527003849742,-3.796007383805294,-976.1081931758309,-500.51460990775564,1558,-0.9892161200090931,10,,,-1113.3800079518587,2.0,1.5,120,"(420, 570)"
1880,-828.7658664105093,-0.4408329076651645,-0.552,0.47925531914893615,2.263096709629835,-2.929331973224709,0.7725640966320865,0.7110114924060368,0.5689099318892736,6.29525504482231,-15.69851289825133,30.794599182958017,-5.782702484654689,-2.4503575288673702,-3.744483165839072,-834.2165434892459,-388.63234730555,1409,-0.9934661124605366,10,,,-980.9085989745382,2.0,1.5,120,"(450, 570)"
1565,-643.9104957741511,-0.4114444062454639,-0.35199999999995457,0.4805111821086262,2.368852517826707,-2.983133566026857,0.7940819495325876,0.7345013850535128,0.3649476181850969,3.171827149048853,-17.687194806986874,19.331523503910965,-4.81509648773235,-2.1720630405521506,-3.499046627698636,-650.4627635448531,-328.0963557299619,1233,-0.9899267596272829,9,,,-790.0781087827733,2.0,1.5,120,"(480, 570)"
2184,-946.6847247557977,-0.43346370181126265,-0.42933426238048655,0.4826007326007326,2.2812884812866,-2.9656307823290913,0.7692422451506132,0.7175055985741118,0.5407398530653567,6.573276056612068,-17.435432162365693,31.0823032457105,-6.032541655725368,-2.4916576488356252,-3.6382703610133325,-958.5355479888798,-490.7893958405673,1558,-0.9876365323561308,11,,,-1113.4845313044143,2.0,1.5,180,"(420, 570)"
1880,-843.4630036060332,-0.4486505338329964,-0.5293342623805093,0.4845744680851064,2.3112029510063237,-3.0433115500235233,0.7594368545633979,0.7139803658485608,0.800368422713821,8.561378824025224,-15.69851289825133,31.0823032457105,-5.666816608011964,-2.4026928603036453,-3.72645269948268,-848.9136806847686,-389.0108413813572,1409,-0.9935792328445904,10,,,-1009.1827718065925,2.0,1.5,180,"(450, 570)"
1565,-648.9831437818846,-0.41468571487660355,-0.334674170887276,0.48434504792332267,2.3957363755807277,-3.054462597858831,0.7843397320563466,0.7367156343230616,0.6878034387925972,6.3825284232506085,-17.687194806986874,31.0823032457105,-4.715568436230015,-2.129883160111506,-3.507894302962734,-658.2834202160519,-326.6755144644881,1233,-0.9858719266678442,9,,,-808.0850600362172,2.0,1.5,180,"(480, 570)"
2184,-955.851161183547,-0.43766078808770464,-0.32596639177663933,0.483974358974359,2.285313800750579,-2.9915065204764058,0.7639340864236648,0.716484764285549,0.5099222499687128,6.432017516852287,-17.435432162365693,31.0823032457105,-6.053945771788783,-2.496795609645973,-3.6177414337314877,-969.3261591559453,-495.44379042979557,1558,-0.9860985924654004,11,,,-1122.6509677321642,2.0,1.5,240,"(420, 570)"
1880,-862.4938101820734,-0.45877330328833693,-0.552,0.48404255319148937,2.3133998281866397,-3.05947180807414,0.7561435349988946,0.7093717699474166,0.7694892672833435,8.423799417529581,-15.69851289825133,31.0823032457105,-5.765201830807485,-2.4428789487147764,-3.756280853558251,-868.8839482480976,-398.14779407386277,1409,-0.9926455793332452,10,,,-1028.213578382633,2.0,1.5,240,"(450, 570)"
1565,-661.2027579680737,-0.422493775059472,-0.35199999999995457,0.4837060702875399,2.3983568401232143,-3.065295650917508,0.7824226806328893,0.7330370906424472,0.6642166357371904,6.314295924285339,-17.687194806986874,31.0823032457105,-4.785104118593333,-2.158481380169808,-3.5187691623385824,-672.1272091415575,-331.90676634898404,1233,-0.9837464530153102,9,,,-820.3046742224061,2.0,1.5,240,"(480, 570)"
2076,-803.5247404550465,-0.3870543065775754,0.24799999999995448,0.5322736030828517,2.1093421458561745,-3.227958611355427,0.6534600965563363,0.7436389358339358,-0.1754640852389335,4.683342514644499,-23.063242883154295,24.294599182958017,-5.083349840184539,-2.091383629500598,-2.8166633780083528,-819.9668576190786,-440.6250039415231,1558,-0.9799478271454138,9,,,-954.7679919542198,2.0,2.0,120,"(420, 570)"
1786,-643.9099392513315,-0.36053188087980487,0.35810770291541116,0.5475923852183651,2.1547790778022784,-3.40505430364104,0.632817830687212,0.765960196054571,0.08300827322754745,5.725437077210897,-20.74735053100185,30.794599182958017,-4.241313939617027,-1.7902886118533803,-2.570764743207843,-659.2346038470969,-322.9828646078478,1409,-0.9767538528676726,8,,,-800.235982441467,2.0,2.0,120,"(450, 570)"
1503,-504.8347033529492,-0.3358846995029602,0.37109415949830504,0.5508982035928144,2.2525908331934392,-3.5110813529438776,0.6415661178869431,0.7869877712746502,-0.040309393088809126,3.000394883482701,-18.079182894484667,19.331523503910965,-3.5330382811641847,-1.5899509622986592,-2.3802407819098836,-512.2919391091476,-257.98699406562685,1233,-0.9854433865011426,8,,,-656.3023163615713,2.0,2.0,120,"(480, 570)"
