candidate,instrument,split,t_entry,side,mae,mfe,pnl_pts
M2-CTX,SPX500,TRAIN,2005-09-29 15:53:00+00:00,-1,5.400000000000091,3.2999999999999545,-4.7000000000000455
M2-CTX,SPX500,TRAIN,2005-10-04 14:16:00+00:00,-1,1.0,2.0,1.8825667483383768
M2-CTX,SPX500,TRAIN,2005-10-06 15:13:00+00:00,-1,1.7000000000000455,3.0,2.334116884569312
M2-CTX,SPX500,TRAIN,2005-10-10 14:03:00+00:00,1,0.7000000000000455,4.5,4.169070075484569
M2-CTX,SPX500,TRAIN,2005-10-11 16:20:00+00:00,1,0.7000000000000455,4.7999999999999545,4.49313741022047
M2-CTX,SPX500,TRAIN,2005-10-12 13:48:00+00:00,-1,0.1999999999998181,5.7000000000000455,4.724818105589748
M2-CTX,SPX500,TRAIN,2005-10-12 15:58:00+00:00,1,2.7999999999999545,5.0,4.983887112442744
M2-CTX,SPX500,TRAIN,2005-10-13 14:44:00+00:00,-1,0.0,4.2000000000000455,3.8326907159355414
M2-CTX,SPX500,TRAIN,2005-10-13 16:25:00+00:00,1,1.0,5.7000000000000455,5.180726276811356
M2-CTX,SPX500,TRAIN,2005-10-14 16:09:00+00:00,-1,1.0,4.7000000000000455,4.5706864012713595
M2-CTX,SPX500,TRAIN,2005-10-18 17:21:00+00:00,1,4.7999999999999545,1.900000000000091,-4.773151476805197
M2-CTX,SPX500,TRAIN,2005-10-20 15:57:00+00:00,1,4.2999999999999545,2.2000000000000455,-4.0347412297601295
M2-CTX,SPX500,TRAIN,2005-10-21 16:05:00+00:00,1,0.5,6.2999999999999545,5.369124270960356
M2-CTX,SPX500,TRAIN,2005-10-27 14:36:00+00:00,1,2.0,2.0,1.9301516100408662
M2-CTX,SPX500,TRAIN,2005-10-27 17:30:00+00:00,1,4.5,3.0,-4.371774503885717
M2-CTX,SPX500,TRAIN,2005-11-01 15:01:00+00:00,1,0.2999999999999545,2.2000000000000455,2.1609263169139012
M2-CTX,SPX500,TRAIN,2005-11-04 15:49:00+00:00,1,1.0,3.5,3.4407366372881825
M2-CTX,SPX500,TRAIN,2005-11-09 17:52:00+00:00,-1,0.5,5.7000000000000455,5.238493761840573
M2-CTX,SPX500,TRAIN,2005-11-23 16:25:00+00:00,-1,3.2000000000000455,0.2999999999999545,-2.805510339963803
M2-CTX,SPX500,TRAIN,2005-11-23 17:50:00+00:00,-1,2.5,3.7999999999999545,3.7999999999999545
M2-CTX,SPX500,TRAIN,2005-12-02 17:55:00+00:00,1,0.7000000000000455,2.5,2.131696688871898
M2-CTX,SPX500,TRAIN,2005-12-07 18:27:00+00:00,1,4.7000000000000455,0.0,-4.57684861853636
M2-CTX,SPX500,TRAIN,2005-12-08 15:59:00+00:00,-1,4.2999999999999545,0.0,-3.6816111668279063
M2-CTX,SPX500,TRAIN,2005-12-20 15:15:00+00:00,1,1.699999999999818,1.300000000000182,1.1434016696007347
M2-CTX,SPX500,TRAIN,2005-12-23 15:38:00+00:00,1,1.2999999999999545,1.0,0.9912791855863361
M2-CTX,SPX500,TRAIN,2005-12-27 16:24:00+00:00,1,2.8999999999998636,0.0,-2.75404776512255
M2-CTX,SPX500,TRAIN,2006-01-04 15:03:00+00:00,-1,0.5,3.0,2.8356395461580632
M2-CTX,SPX500,TRAIN,2006-01-10 18:12:00+00:00,-1,2.2999999999999545,2.2000000000000455,1.919757004753592
M2-CTX,SPX500,TRAIN,2006-01-25 17:26:00+00:00,1,1.5,5.5,5.398138954695696
M2-CTX,SPX500,TRAIN,2006-01-26 17:07:00+00:00,-1,0.2999999999999545,3.900000000000091,3.659995867638827
M2-CTX,SPX500,TRAIN,2006-01-27 15:04:00+00:00,-1,4.7000000000000455,0.1999999999998181,-3.70231711036854
M2-CTX,SPX500,TRAIN,2006-01-27 15:17:00+00:00,-1,1.2000000000000455,4.699999999999818,4.211185204022058
M2-CTX,SPX500,TRAIN,2006-02-02 16:27:00+00:00,1,1.5,4.7999999999999545,3.0
